Rank,Time,Coin,Symbol,Price,Change in last 24h,Total vol(24h)
68,09:16:05--11/22/22,"VeChain
VET",,£ 0.01470,-3.01%,£ 13.90 M
69,09:16:05--11/22/22,"Tornado Cash
TORN",,£ 4.528,10.68%,£ 14.16 M
70,09:16:06--11/22/22,"IOTA
MIOTA",,£ 0.1742,0.04%,£ 13.69 M
71,09:16:06--11/22/22,"Elrond
EGLD",,£ 33.70,-3.10%,£ 13.64 M
72,09:16:06--11/22/22,"Fantom
FTM",,£ 0.1405,-3.07%,£ 13.10 M
73,09:16:06--11/22/22,"Worldwide Asset eXchange
WAXP",,£ 0.04725,1.93%,£ 13.04 M
74,09:16:07--11/22/22,"JasmyCoin
JASMY",,£ 0.003044,-4.95%,£ 12.92 M
75,09:16:07--11/22/22,"Ankr Network
ANKR",,£ 0.01712,-0.47%,£ 12.83 M
76,09:16:07--11/22/22,"NEM
XEM",,£ 0.02589,-10.14%,£ 12.65 M
77,09:16:07--11/22/22,"DIA
DIA",,£ 0.2704,11.19%,£ 12.47 M
78,09:16:08--11/22/22,"Arweave
AR",,£ 7.408,-8.91%,£ 12.24 M
79,09:16:08--11/22/22,"Internet Computer
ICP",,£ 3.010,-2.90%,£ 12.18 M
80,09:16:08--11/22/22,"Thorchain
RUNE",,£ 0.9000,-4.66%,£ 11.93 M
81,09:16:08--11/22/22,"PancakeSwap
CAKE",,£ 3.028,-3.38%,£ 11.71 M
82,09:16:09--11/22/22,"Band Protocol
BAND",,£ 1.340,-7.39%,£ 11.26 M
83,09:16:09--11/22/22,"OKB
OKB",,£ 16.55,-0.60%,£ 11.10 M
84,09:16:09--11/22/22,"Ambrosus
AMB",,£ 0.01115,7.74%,£ 10.88 M
85,09:16:09--11/22/22,"Ethereum PoW
ETHW",,£ 2.711,-0.56%,£ 10.63 M
86,09:16:10--11/22/22,"BarnBridge
BOND",,£ 3.138,-8.75%,£ 10.05 M
87,09:16:10--11/22/22,"Hedera Hashgraph
HBAR",,£ 0.03806,-3.11%,£ 10.02 M
88,09:16:10--11/22/22,"Zilliqa
ZIL",,£ 0.01739,-2.75%,£ 9.82 M
89,09:16:11--11/22/22,"WINk
WIN",,£ 0.00007267,-1.88%,£ 9.53 M
90,09:16:11--11/22/22,"Kyber Network Crystal v2
KNC",,£ 0.4545,-5.11%,£ 9.50 M
91,09:16:11--11/22/22,"Tezos
XTZ",,£ 0.7810,-2.50%,£ 9.50 M
92,09:16:11--11/22/22,"COTI
COTI",,£ 0.05630,-8.29%,£ 9.33 M
93,09:16:12--11/22/22,"Enjin Coin
ENJ",,£ 0.2351,-3.99%,£ 9.30 M
94,09:16:12--11/22/22,"dKargo
DKA",,£ 0.02378,7.46%,£ 9.17 M
95,09:16:12--11/22/22,"Ethereum Name Service
ENS",,£ 9.967,-1.84%,£ 9.12 M
96,09:16:12--11/22/22,"Metal
MTL",,£ 0.5570,-1.96%,£ 9.10 M
97,09:16:13--11/22/22,"Flow
FLOW",,£ 0.9133,-5.07%,£ 9.05 M
98,09:16:13--11/22/22,"Badger DAO
BADGER",,£ 2.083,1.84%,£ 8.70 M
99,09:16:13--11/22/22,"Celo
CELO",,£ 0.3875,2.99%,£ 8.66 M
100,09:16:13--11/22/22,"Huobi Token
HT",,£ 3.970,6.87%,£ 8.53 M
